ASV	GLM.49	GLM.50	GLM.51	GLM.52	GLM.53	GLM.54	GLM.55	GLM.56	GLM.57	GLM.58	GLM.59	GLM.60	GLM.61	GLM.62	GLM.63	GLM.64	GLM.65	GLM.66
ASV_1	0	0	0	0	0	0	0	0	0	0	0	0	10052	10539	10868	50	0	58
ASV_2	0	0	0	0	0	0	0	0	0	2084	5954	9020	0	0	0	37	262	35
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	4163	6864	4582	0	0	0
ASV_4	5426	4616	3866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	4780	4508	2202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	0	0	3882	3200	3272	28	25	24	49	89	0	0	0	0
ASV_7	3441	2223	2906	775	576	450	0	0	0	37	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	0	0	393	500	495	0	0	0	2151	2442	4070	0	0	0
ASV_9	0	0	0	0	0	0	0	25	26	0	0	0	1726	3684	3789	0	0	0
ASV_10	0	0	0	20	0	0	0	0	0	0	0	26	0	0	0	2269	2485	2606
ASV_11	0	0	0	0	0	0	2418	2271	2385	35	0	0	0	0	0	0	0	0
ASV_12	0	0	0	0	0	0	2341	2121	2547	43	0	38	0	0	0	0	0	18
ASV_13	2246	3477	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	0	0	1207	883	1218	0	0	0	308	331	1408	0	0	0
ASV_15	0	0	0	0	0	0	1837	1671	1743	0	44	0	20	0	0	0	0	0
ASV_16	0	0	0	0	0	0	1578	1399	1722	0	14	0	0	0	0	0	0	0
ASV_17	0	0	0	188	152	90	0	0	0	4230	12	0	0	0	0	0	0	0
ASV_18	1864	1777	895	53	44	31	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	0	0	0	0	0	0	1382	1193	1372	0	0	0	30	36	471	0	0	0
ASV_20	0	0	0	0	0	0	0	0	0	0	1362	3004	0	0	0	0	0	0
ASV_21	0	0	0	0	0	0	1641	1142	1169	0	0	0	44	67	188	12	0	0
ASV_22	0	0	0	0	0	0	1239	969	990	0	0	0	296	251	206	13	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	1240	2430	279	0	0	0
ASV_24	1058	1652	428	0	0	0	0	0	0	0	0	0	0	0	0	372	186	216
ASV_25	0	0	0	0	0	0	1210	1224	971	0	0	0	0	0	79	0	0	0
ASV_26	0	0	0	0	0	0	1091	826	802	0	0	0	0	89	588	0	0	0
ASV_27	0	0	0	0	0	0	895	763	717	0	0	20	129	162	452	19	13	0
ASV_28	0	0	0	0	0	0	1037	908	1069	0	0	0	0	35	0	0	0	0
ASV_29	0	0	0	0	0	0	870	823	1019	0	0	0	15	30	245	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	700	1554	726	0	0	0
ASV_31	0	0	0	0	0	0	0	0	0	101	920	1497	0	0	0	123	125	140
ASV_32	1471	972	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	0	0	0	0	0	0	0	0	0	66	113	193	0	0	0	935	724	793
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	755	1771	151	34	0	0
ASV_35	854	720	389	210	167	111	0	0	0	157	4	0	0	0	0	24	28	44
ASV_36	0	0	0	1101	1031	573	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	0	0	0	0	0	352	745	0	0	0	703	475	417
ASV_38	213	189	86	581	537	272	0	0	0	148	0	0	0	0	0	239	205	176
ASV_39	1088	958	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	0	0	0	0	0	0	0	30	40	0	0	0	455	633	1340	0	0	0
ASV_41	976	892	611	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_42	0	0	0	0	0	0	527	548	719	0	0	0	62	111	509	0	0	0
ASV_43	960	668	482	157	92	73	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	0	0	0	0	0	0	684	958	749	0	0	0
ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	504	641	1187	0	0	0
ASV_46	0	0	0	0	0	0	0	0	0	4	80	125	0	0	0	765	746	604
ASV_47	1104	663	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	735	770	768	0	0	8	0	0	0	0	0	0
ASV_49	0	0	0	0	0	0	0	0	0	7	66	88	0	0	0	891	543	652
ASV_50	920	885	389	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_51	1100	848	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	0	0	161	117	73	0	0	0	235	128	109	0	0	0	374	480	424
ASV_53	0	0	0	0	0	0	0	0	0	0	0	0	636	913	430	0	0	0
ASV_54	0	0	0	846	588	456	0	0	0	44	0	0	0	0	0	7	7	5
ASV_55	0	0	0	0	0	0	728	623	591	0	0	0	0	0	0	0	0	0
ASV_56	0	0	0	0	0	0	0	0	0	1940	0	0	0	0	0	0	0	0
ASV_57	0	0	0	0	0	0	735	626	577	0	0	0	0	0	0	0	0	0
ASV_58	0	0	0	0	0	0	687	594	654	0	0	0	0	0	0	0	0	0
ASV_59	659	537	157	0	0	0	0	0	0	156	259	152	0	0	0	0	0	0
ASV_60	0	0	0	0	0	0	0	0	0	0	0	0	568	889	461	0	0	0
ASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	646	620
ASV_62	0	0	0	0	0	0	121	98	99	0	0	0	575	646	309	7	13	0
ASV_63	630	565	155	182	147	120	0	0	0	0	0	0	0	0	0	23	44	0
ASV_64	0	0	0	427	354	242	0	0	0	231	81	66	0	0	0	140	189	127
ASV_65	0	0	0	364	368	179	0	0	0	21	35	41	0	0	0	289	276	283
ASV_66	813	565	412	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	79	34	41	353	302	207	0	0	0	183	286	292	0	0	0	0	0	7
ASV_68	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	644	549	550
ASV_69	528	404	190	253	197	125	0	0	0	0	0	0	0	0	0	5	0	6
ASV_70	806	490	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_71	0	0	0	0	0	0	519	429	724	0	0	0	0	0	0	0	0	0
ASV_72	1017	512	116	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	0	85	497	804	0	0	0	78	92	58
ASV_74	0	0	0	0	0	0	0	0	0	0	409	1152	0	0	0	46	0	0
ASV_75	0	0	0	469	305	255	0	0	0	348	0	0	0	0	0	69	70	61
ASV_76	0	0	0	0	0	0	485	506	575	0	0	0	0	0	0	0	0	0
ASV_77	0	0	0	0	0	0	0	0	0	0	495	1071	0	0	0	0	0	0
ASV_78	0	0	0	0	0	0	0	0	0	0	697	681	0	0	0	93	42	47
ASV_79	720	389	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	0	0	0	0	0	0	0	0	0	173	469	435	0	0	0	152	144	128
ASV_81	0	0	0	634	513	291	0	0	0	42	0	0	0	0	0	0	0	0
ASV_82	0	0	0	619	479	333	0	0	0	40	0	0	0	0	0	0	0	0
ASV_83	0	0	0	0	0	0	365	460	592	32	14	0	0	0	8	0	0	0
ASV_84	0	0	0	541	485	326	0	0	0	79	0	0	0	0	0	0	0	0
