ASV	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis
ASV_2	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Chryseolinea
ASV_3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Ruminofilibacter
ASV_5	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA
ASV_6	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium
ASV_7	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA
ASV_8	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis
ASV_9	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus
ASV_10	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura
ASV_11	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
ASV_12	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	NA
ASV_13	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum
ASV_14	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
ASV_15	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
ASV_16	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
ASV_17	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Chryseolinea
ASV_18	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA
ASV_19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
ASV_20	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Longispora
ASV_21	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
ASV_23	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_24	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Fermentimonas
ASV_25	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium
ASV_26	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
ASV_27	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus
ASV_28	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
ASV_29	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA
ASV_30	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_31	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_32	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA
ASV_33	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Fodinicurvataceae	NA
ASV_34	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas
ASV_35	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA
ASV_36	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea
ASV_37	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA
ASV_38	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas
ASV_39	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
ASV_40	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus
ASV_41	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	OLB13
ASV_42	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
ASV_43	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA
ASV_44	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV_45	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_46	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Anseongella
ASV_47	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	NA	NA
ASV_48	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus
ASV_49	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera
ASV_50	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA
ASV_51	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea
ASV_52	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Pelagibius
ASV_53	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_54	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA
