Group	1	3	5	7	9	11	13	15	17	19	21	23	25	27	29	31	33	35	37	39	41	43	45	47	49	51	53	55	57	59
Ambient	18.8	25.58	27.7	29.08	26.09	28.97	28.93	23.41	19.89	20.67	18.74	19.25	22.93	27.39	24.26	23.88	20.56	24.02	27.47	28.12	24.78	26.75	21.54	22.07	25.19	26.23	25.89	26.79	26.19	28.05
Ambient	18.5	26	28	28.8	26.4	28.8	28.8	23.4	19.4	20.5	18.9	19.5	22.8	27.6	24.5	24.1	20.8	24	27.4	28.2	24.6	26.9	21.7	22.3	25.3	26.2	25.8	26.4	26.3	28
Ambient	19	25.8	27.9	29.3	26.3	29.2	29.1	23.6	19.7	20.7	18.9	19.4	22.7	27.9	24.6	24	20.7	24.2	27.5	27.9	24.7	26.6	21.5	22.2	25.4	26.3	25.9	26.6	26.1	28.3
FC	18.3	30.1	47.5	53.3	50.5	55.2	55.6	36.2	26.2	25.7	23.3	23.4	28.9	33.3	30	29.8	25.7	28.2	31.2	30.4	29.4	30.2	25.2	24.5	27.4	28.6	28.7	28.6	29.5	30.9
FC	18.5	30.8	47.9	53.4	50.4	54.8	55.3	36.8	26.8	25.2	24	23.3	28.8	33.9	30.3	30.4	25.6	28.9	31.6	30.8	29.1	31.3	23.5	25.5	26.8	28.1	28.1	29.3	29.1	31.3
FC	18.4	30.4	46.8	54	50.7	55.6	56	35.9	27.1	26.1	23.9	23.1	28.6	33.8	30.1	30	26	28.7	32.2	30.8	29.2	30.9	24.1	26.3	26.1	29.3	27.4	31	28.8	31.7
PL	18.2	31.04	52.6	58.6	51.6	58.9	58.5	40.9	26.3	26.1	26.9	24.5	29.4	35.1	31.9	30.8	27.5	29.3	32.6	30.6	29.6	30.7	25.1	26.8	27.9	28.8	29.2	28.5	30.1	31.2
PL	18	31.9	52.1	58.8	51.9	58.2	59	40.3	27.2	27.5	24.3	23.4	29.6	35.4	31	31.1	27.1	29.4	32.8	30.4	29.4	30.2	24.6	26.1	27.2	28.2	28.5	29.2	30.4	30.6
PL	18.3	31.6	53	58.7	50.9	58.3	58.6	40.3	27.4	27	23.6	24.2	30.2	35.5	31.4	31.3	27.6	29.1	31.8	30.6	29.7	31.4	25.4	26.4	27.4	28.5	29.2	28.8	28.6	29.8
CM	18.4	32.1	53.9	57.8	55.7	56.3	56.2	39.4	27.8	27.1	26.4	25.2	30.2	35.1	31.7	31.3	26.9	28.8	32.3	30.8	28.8	32.2	24	25.1	26.6	30.2	27.8	30.7	28.1	29.9
CM	18.4	32.3	53.7	58	56.2	56.8	55.8	39.8	27	29.1	25.8	25	30.6	34.8	31.9	31.5	27.2	29.2	31.6	30.9	28.6	32.6	24.4	25.3	27.6	29.6	29	28.8	29.1	31.4
CM	18.2	32.6	53.5	58.1	55.1	56.5	56.3	39.5	28.5	27.9	25.6	24.9	30.5	35.2	31.3	31	26.8	29	31.7	30.4	29	31.8	24.1	24.7	27.4	29.1	29.8	28.8	28.8	30.9
