SampleID	pH	C-org	N-total	N-inorg	P	K	Ca	Mg	S	Cu	Zn
GLM.49	6.6	153	18.3	1407	9.4	3.997	27.6	2	3.6	32.7	90.9
GLM.50	6.7	178	18.1	1102.3	10	4.246	27.3	2.4	5.1	31.6	99.9
GLM.51	6.7	154	17.5	667.7	11.4	5.243	31	2.7	5.9	38.2	110
GLM.52	6.9	97.2	9.5	1881.1	6.7	1.673	19.1	1.3	2.8	37.6	96.5
GLM.53	7	95.5	8.3	1133.8	7.5	1.972	21.6	1.4	3.4	37.8	103
GLM.54	7	108	8	1218.4	6.8	1.947	19.4	1.5	2.4	35.6	102
GLM.55	8.4	398	19.5	943.3	13.3	15.728	23.7	3.9	4.7	58.3	405
GLM.56	8.1	422	20.5	942	12	15.485	27.2	3.5	4.3	57.1	390
GLM.57	8.2	418	20	944.4	10.9	15.226	25.8	2.9	4.4	52.2	352
GLM.58	6.9	126	6.5	1547.9	10.4	5.495	24.4	3.4	2	54	344
GLM.59	6.9	105	5.5	1362.2	8.3	4.995	21.1	3	1.7	44.6	288
GLM.60	6.9	107	5.8	1891.7	11.3	5.75	27.4	3.6	2.1	53.9	350
GLM.61	9.7	187	18.7	136	35.2	48.692	176	5	8.5	699	649
GLM.62	9.8	225	16.5	82	44.3	48.701	166	13.9	9.3	869	879
GLM.63	9.7	217	18.9	204	37.1	46.222	175	8.6	9.1	730	730
GLM.64	8	108	7.4	753	10.9	8.738	67.7	2.8	1.8	229	250
GLM.65	8	119	6.6	1178	10.4	8.492	68.6	2.8	1.8	218	248
GLM.66	8	109	6.9	1204	9.6	7.241	75.7	2.5	1.6	198	239


